ARK	DSpace ID	Issue Date	Title	Author	Dataspace Link	DOE Contract	Non-DOE Contract	Sponsoring Organizations
88435/dsp011g05ff83b	160144	2022-12	Novel angular velocity estimation technique for plasma filaments	Lampert, Mate;Diallo, Ahmed;Zweben, Stewart	https://dataspace.princeton.edu/handle/88435/dsp011g05ff83b	AC02-09CH11466		USDOE Office of Science (SC)
88435/dsp011831cp18z	161552	2022-12-07	A novel scheme for error field correction in permanent magnet stellarators	Rutkowski, Adam;Hammond, Kenneth;Zhu, Caoxiang;Gates, David;Chambliss, Amelia	https://dataspace.princeton.edu/handle/88435/dsp011831cp18z	AC02-09CH11466		USDOE Office of Science (SC)
88435/dsp01sb397c50v	170033	2023	Role of fast ions in spontaneous neoclassical tearing mode instabilities in NSTX	Yang, James;Podesta, Mario;Fredrickson, Eric;Liu, Chang;Berkery, Jack;Poli, Francesca	https://dataspace.princeton.edu/handle/88435/dsp01sb397c50v	AC02-09CH11466		USDOE Office of Science (SC)
88435/dsp011831cp19m	168795	2023	"Dataset for the letter ""Shifting and Splitting of Resonance Lines due to Dynamical Friction in Plasmas"" Phys. Rev. Lett. 130, 105101 (2023)"	Duarte, Vinicius	https://dataspace.princeton.edu/handle/88435/dsp011831cp19m	AC02-09CH11466		USDOE Office of Science (SC)
88435/dsp0176537458f	165169	2023	Laboratory study of the failed torus mechanism in arched, line-tied, magnetic flux ropes	Alt, Andrew;Ji, Hantao;Yoo, Jongsoo;Bose, Sayak;Goodman, Aaron;Yamada, Masaaki	https://dataspace.princeton.edu/handle/88435/dsp0176537458f	AC02-09CH11466;SC0019049	80HQTR17T0005	USDOE Office of Science (SC)
88435/dsp01r494vp42z	167739	2023	Effects of collisional ion orbit loss on tokamak radial electric field and toroidal rotation in an L-mode plasma	Zhu, Hongxuan;Stoltzfus-Dueck, T;Hager, R;Ku, S;Chang, C. S.	https://dataspace.princeton.edu/handle/88435/dsp01r494vp42z	AC02-05CH11231;AC02-09CH11466		USDOE Office of Science (SC)
88435/dsp01x059cb607	173862	2023	Self-consistent simulation of compressional Alfvén eigenmodes excitation and runaway electron diffusion in tokamak disruptions	Liu, Chang;Lvovskiy, Andrey;Paz-Soldan, Carlos;Jardin, Stephen;Bhattacharjee, Amitava	https://dataspace.princeton.edu/handle/88435/dsp01x059cb607	AC02-09CH11466;SC0016268		USDOE Office of Science (SC)
88435/dsp0137720g96v	168423	2023	Neoclassical transport in strong gradient regions of large aspect ratio tokamaks	Trinczek, Silvia;Parra, Felix I.;Catto, Peter J.;Calvo, Iván;Landreman, Matt	https://dataspace.princeton.edu/handle/88435/dsp0137720g96v	AC02-09CH11466;FG02-91ER-54109		USDOE Office of Science (SC)
88435/dsp01d791sk413	163457	2023-01	Reduced Physics Model of the Tokamak Scrape-off-Layer for Pulse Design	Zhang, Xin	https://dataspace.princeton.edu/handle/88435/dsp01d791sk413	AC02-09CH11466		USDOE Office of Science (SC)
88435/dsp01td96k574c	162608	2023-01-18	Operational Space and Performance Limiting Events in the First Physics Campaign of MAST-U	Berkery, John	https://dataspace.princeton.edu/handle/88435/dsp01td96k574c	AC02-09CH11466		USDOE Office of Science (SC)
88435/dsp01bc386n47h	172594	2023-05-19	A reduced-turbulence regime in the Large Helical Device upon injection of low-Z materials powders	Nespoli, Federico;Tanaka, Kenji;Masuzaki, Suguru;Ashikawa, Naoko;Shoji, Mamoru;Gilson, Erik;Lunsford, Robert;Oishi, Tetsutarou;Ida, Katsumi;Yoshinuma, Mikirou;Takemura, Yuki;Kinoshita, Toshiki;Motojima, Gen;Osakabe, Masaki;Kenmochi, Naoki;Kawamura, Gakushi;Suzuki, Chihiro;Nagy, Alex;Bortolon, Alessandro;Pablant, Novimir;Mollen, Albert;Tamura, Naoki;Gates, David;Morisaki, Tomohiro	https://dataspace.princeton.edu/handle/88435/dsp01bc386n47h	AC02-09CH11466		USDOE Office of Science (SC)
88435/dsp01rn3014659	172704	2023-06-30	Density Limits as Disruption Forecasters for Spherical Tokamaks	Berkery, John	https://dataspace.princeton.edu/handle/88435/dsp01rn3014659	AC02-09CH11466		USDOE Office of Science (SC)
